qty,item_i,gst_i,purchase_d
1,41526,685744,25/11/2015_00:00:00
1,43568,2653450,30/04/2016_00:00:00
1,217989,4198473,24/01/2017_00:00:00
2,67210,1479580,06/11/2015_00:00:00
1,42877,1054115,20/01/2017_00:00:00
1,106954,89080,12/03/2016_00:00:00
1,58684,3343705,23/05/2016_00:00:00
1,48336,2568425,14/01/2017_00:00:00
-1,175079,908560,26/03/2016_00:00:00
1,41512,467277,27/02/2016_00:00:00
1,219600,1217784,24/01/2016_00:00:00
1,222310,3563193,26/05/2016_00:00:00
2,54960,466727,18/04/2016_00:00:00
1,100125,1173538,03/06/2016_00:00:00
1,105950,2241200,05/04/2016_00:00:00
1,40626,4835889,09/03/2016_00:00:00
1,46336,3923515,16/12/2016_00:00:00
1,98930,4373194,06/01/2016_00:00:00
1,139728,5043837,18/12/2016_00:00:00
2,59052,3111707,16/09/2015_00:00:00
1,44237,4419302,07/03/2017_00:00:00
1,44126,83604,26/02/2017_00:00:00
1,37085,2270109,22/10/2015_00:00:00
1,63079,1418103,16/08/2016_00:00:00
1,239850,4741133,29/01/2016_00:00:00
1,52839,4443752,19/08/2015_00:00:00
2,43249,2323,24/08/2016_00:00:00
1,108978,1046056,26/11/2016_00:00:00
1,208468,2895155,02/12/2015_00:00:00
1,109835,101393,06/01/2017_00:00:00
1,92072,330037,24/07/2016_00:00:00
1,57115,5119214,19/07/2016_00:00:00
1,45717,328027,26/05/2016_00:00:00
3,58839,2032927,04/12/2016_00:00:00
1,52924,4416546,19/12/2015_00:00:00
1,46198,3613048,03/09/2016_00:00:00
1,130747,3657937,02/12/2015_00:00:00
1,97466,1127374,14/09/2015_00:00:00
1,58964,524138,21/03/2016_00:00:00
1,42476,3500517,05/07/2016_00:00:00
1,220384,5204247,19/11/2016_00:00:00
1,231013,4661530,15/01/2016_00:00:00
1,215155,4632344,15/02/2017_00:00:00
1,81140,2899665,04/11/2015_00:00:00
1,47327,2693652,04/08/2016_00:00:00
1,48195,4966550,10/12/2016_00:00:00
1,93720,3125430,25/12/2016_00:00:00
2,53412,551641,17/12/2015_00:00:00
1,154925,170051,19/11/2015_00:00:00
5,91081,3879119,13/10/2016_00:00:00
1,97974,1046056,15/01/2016_00:00:00
1,109445,2871178,31/07/2016_00:00:00
1,2363,2629,08/12/2016_00:00:00
1,119583,4939121,01/02/2016_00:00:00
1,111529,2742150,17/03/2016_00:00:00
1,33687,2767917,04/01/2016_00:00:00
1,183148,2803338,19/04/2016_00:00:00
1,95142,2031199,29/02/2016_00:00:00
1,40467,1397123,06/11/2016_00:00:00
1,109818,3256845,04/03/2016_00:00:00
2,4705,466727,28/02/2016_00:00:00
1,163659,2758317,23/07/2016_00:00:00
1,123334,1636703,16/11/2016_00:00:00
1,55534,1518421,31/03/2017_00:00:00
1,188634,167226,02/12/2016_00:00:00
1,104568,1543527,29/11/2016_00:00:00
1,1959,3744977,11/05/2016_00:00:00
2,81139,2955539,16/08/2015_00:00:00
1,104055,3580428,07/02/2016_00:00:00
1,87867,807056,28/10/2016_00:00:00
1,98339,4414710,29/08/2016_00:00:00
1,34125,3623434,25/09/2016_00:00:00
1,43499,4264338,30/05/2016_00:00:00
1,57239,1062410,16/08/2016_00:00:00
1,44128,4041753,01/10/2015_00:00:00
1,99834,2513424,05/03/2016_00:00:00
1,97991,3504300,22/09/2015_00:00:00
2,208468,4716202,03/08/2016_00:00:00
2,98091,4243895,10/03/2016_00:00:00
1,45578,2983894,02/04/2016_00:00:00
5,52811,4518312,17/11/2016_00:00:00
1,94387,3817073,20/08/2015_00:00:00
1,41270,3678819,04/10/2015_00:00:00
1,41792,341462,23/02/2017_00:00:00
1,4424,4937722,10/11/2015_00:00:00
1,44018,5000753,24/10/2015_00:00:00
4,46061,3391014,10/09/2015_00:00:00
1,138542,2701803,19/08/2015_00:00:00
2,51477,1250234,11/11/2015_00:00:00
1,44983,3331340,05/07/2016_00:00:00
1,136816,2798346,14/10/2016_00:00:00
1,97073,486047,25/03/2017_00:00:00
1,100340,4659853,20/08/2016_00:00:00
1,8473,4207938,11/02/2016_00:00:00
2,53546,3848581,05/09/2016_00:00:00
1,124962,4249183,03/01/2017_00:00:00
1,49599,1511996,03/11/2016_00:00:00
1,243789,1187340,30/10/2015_00:00:00
1,41090,1017018,28/01/2017_00:00:00
1,105953,4110848,27/07/2016_00:00:00
1,110428,1774494,17/06/2016_00:00:00
1,45745,3384086,08/12/2016_00:00:00
2,220142,740566,29/11/2015_00:00:00
1,231000,4636692,22/09/2015_00:00:00
2,40855,4448932,15/10/2015_00:00:00
1,160294,2242074,05/02/2017_00:00:00
1,42609,3330021,18/12/2015_00:00:00
1,96124,3340321,01/03/2017_00:00:00
1,85271,5188419,03/09/2015_00:00:00
1,44041,965651,30/05/2016_00:00:00
2,100628,1144616,21/10/2015_00:00:00
2,43774,4414710,24/09/2016_00:00:00
1,115501,318925,14/01/2017_00:00:00
1,174145,4997843,24/11/2015_00:00:00
1,91816,1283451,24/10/2015_00:00:00
2,50854,117050,08/09/2016_00:00:00
1,49194,2734609,02/10/2015_00:00:00
2,96649,1825491,08/11/2015_00:00:00
1,118483,4054017,26/04/2016_00:00:00
1,41944,1642873,21/07/2016_00:00:00
1,43943,2439041,22/11/2016_00:00:00
2,46059,2549794,24/01/2016_00:00:00
2,41176,3504300,16/05/2016_00:00:00
1,42666,465822,22/11/2015_00:00:00
1,46490,400615,28/05/2016_00:00:00
1,97091,1774494,11/01/2017_00:00:00
1,142105,3258096,03/10/2015_00:00:00
2,53586,1651863,12/01/2016_00:00:00
1,135352,1649745,05/06/2016_00:00:00
1,103129,3027147,23/12/2016_00:00:00
1,3524,141870,03/03/2017_00:00:00
4,125907,2009296,23/10/2016_00:00:00
1,44614,2180813,18/02/2016_00:00:00
1,104354,1061850,19/09/2016_00:00:00
1,48953,4428444,08/02/2016_00:00:00
2,243994,1643287,20/12/2016_00:00:00
1,118680,111609,13/11/2016_00:00:00
1,45591,1128321,05/05/2016_00:00:00
1,241764,1976956,08/01/2016_00:00:00
1,196418,4198473,16/06/2016_00:00:00
1,168765,1128321,21/01/2016_00:00:00
1,127106,2472244,24/05/2016_00:00:00
2,213435,5078050,20/06/2016_00:00:00
4,109537,4416546,17/11/2016_00:00:00
1,110424,3256845,14/10/2015_00:00:00
1,70296,685744,05/04/2016_00:00:00
1,229297,2870253,15/05/2016_00:00:00
1,45406,1487677,23/11/2016_00:00:00
1,59526,4123949,17/09/2016_00:00:00
2,48082,657068,03/04/2016_00:00:00
1,38849,4525173,21/10/2015_00:00:00
1,64085,4487328,06/09/2015_00:00:00
1,117951,2503057,11/03/2016_00:00:00
1,170633,4273506,29/01/2017_00:00:00
1,111262,1615775,07/01/2017_00:00:00
3,41357,1428387,08/01/2016_00:00:00
1,40766,1020846,28/09/2016_00:00:00
1,40868,1233143,07/10/2015_00:00:00
1,46424,208060,29/12/2015_00:00:00
1,167641,4516122,19/03/2017_00:00:00
1,110007,2695312,02/12/2015_00:00:00
1,48945,2154675,10/12/2015_00:00:00
1,123018,1151010,14/10/2015_00:00:00
4.73,110408,1540910,01/12/2015_00:00:00
1,42913,1128321,22/02/2016_00:00:00
9,58299,2629,04/10/2015_00:00:00
1,202180,886690,02/12/2015_00:00:00
2,46061,1635211,30/03/2017_00:00:00
1,106990,3256845,13/03/2016_00:00:00
1,100063,1794028,26/03/2017_00:00:00
1,144789,3424944,07/07/2016_00:00:00
2,44693,3739993,14/01/2017_00:00:00
1,50866,5002348,31/08/2015_00:00:00
1,42877,2549794,21/04/2016_00:00:00
1,109536,1847210,06/03/2017_00:00:00
1,166107,989281,26/08/2015_00:00:00
1,243059,1966913,20/12/2016_00:00:00
1,39963,438347,25/10/2015_00:00:00
1,110151,2955321,30/05/2016_00:00:00
1,54885,2472244,18/07/2016_00:00:00
1,99049,1331044,15/03/2017_00:00:00
1,37746,1150241,08/12/2015_00:00:00
1,172217,5108215,05/12/2016_00:00:00
1,54963,2567543,26/12/2015_00:00:00
1,42882,208060,12/12/2016_00:00:00
2,41399,2877757,27/01/2017_00:00:00
1,98337,2692189,20/05/2016_00:00:00
1,45134,2180813,22/05/2016_00:00:00
1,94331,1295937,30/05/2016_00:00:00
1,49056,2398940,02/08/2016_00:00:00
1,226804,2520480,22/02/2017_00:00:00
1,47755,136528,11/02/2017_00:00:00
3,99204,330037,25/05/2016_00:00:00
1,67767,1825491,14/01/2017_00:00:00
1,98036,1775601,24/02/2016_00:00:00
2,160960,2459666,18/03/2017_00:00:00
1,64658,3225034,18/11/2015_00:00:00
1,126260,1412720,14/06/2016_00:00:00
1,85885,5180578,03/01/2016_00:00:00
1,96412,3225034,20/02/2017_00:00:00
1,43992,3013827,22/11/2016_00:00:00
1,93817,2868206,16/12/2016_00:00:00
1,49258,3042070,12/03/2016_00:00:00
1,105853,2482638,20/02/2017_00:00:00
1,105660,2241200,30/03/2016_00:00:00
1,222216,4198473,22/12/2015_00:00:00
1,41935,1881888,21/01/2017_00:00:00
2,40739,1636703,02/05/2016_00:00:00
1,101981,1233143,03/04/2016_00:00:00
1,222373,111609,04/07/2016_00:00:00
1,182482,5197912,29/03/2017_00:00:00
1,210348,3879119,31/01/2017_00:00:00
2,92123,1591857,25/11/2016_00:00:00
1,84656,1055031,12/02/2016_00:00:00
2,106533,1516900,16/12/2016_00:00:00
2,43233,3520500,11/07/2016_00:00:00
2,123762,2877757,21/10/2015_00:00:00
1,59310,1483888,16/08/2015_00:00:00
1,41389,4362238,27/09/2016_00:00:00
1,63971,1722706,01/02/2016_00:00:00
1,42566,4603764,29/08/2016_00:00:00
1,222301,1904015,22/04/2016_00:00:00
1,92881,2752166,27/03/2017_00:00:00
1,103900,872914,13/12/2016_00:00:00
1,40158,2032927,15/11/2015_00:00:00
1,109562,3247351,07/03/2017_00:00:00
1,200892,4748077,02/09/2016_00:00:00
2,41435,5137205,20/08/2015_00:00:00
2,50924,2820841,02/07/2016_00:00:00
1,145213,4558722,14/02/2017_00:00:00
1,109837,2734609,24/11/2015_00:00:00
1,154916,167226,11/02/2017_00:00:00
1,160578,1903041,01/11/2016_00:00:00
1,241800,1633473,04/04/2016_00:00:00
1,48464,3231975,05/09/2015_00:00:00
2,54960,3327985,07/10/2015_00:00:00
1,106687,4518312,09/08/2016_00:00:00
1,48324,4527625,14/04/2016_00:00:00
1,104258,1150412,11/04/2016_00:00:00
1,42517,5169491,04/11/2015_00:00:00
1,54154,1651863,25/09/2015_00:00:00
1,167350,4249183,09/08/2016_00:00:00
1,82295,1770465,31/01/2017_00:00:00
1,191949,1651863,08/09/2016_00:00:00
1,222174,1642873,05/03/2017_00:00:00
1,45343,3118190,23/03/2016_00:00:00
1,50734,2631708,12/03/2016_00:00:00
1,100052,601464,26/10/2015_00:00:00
2,45588,4302387,30/10/2016_00:00:00
1,102247,4998335,22/10/2015_00:00:00
1,80345,1454922,05/07/2016_00:00:00
1,142236,647592,07/11/2015_00:00:00
1,53013,4207938,05/03/2017_00:00:00
1,106826,4302387,29/03/2016_00:00:00
1,41887,681965,17/04/2016_00:00:00
1,51369,5105133,11/11/2015_00:00:00
1,114193,363620,06/12/2015_00:00:00
2,45846,3500517,05/11/2016_00:00:00
1,125452,4217607,02/03/2017_00:00:00
1,63477,1552614,18/09/2016_00:00:00
1,244802,2602819,01/12/2015_00:00:00
1,4738,2472244,22/02/2016_00:00:00
1,50923,2809173,18/07/2016_00:00:00
1,106545,1079649,19/01/2016_00:00:00
1,54960,2138738,11/06/2016_00:00:00
1,96413,2446816,10/03/2016_00:00:00
2,41738,3706368,16/11/2016_00:00:00
3,41208,3208296,07/10/2016_00:00:00
1,237774,2503057,24/12/2015_00:00:00
1,42481,1287698,17/03/2017_00:00:00
1,115823,2675699,22/05/2016_00:00:00
1,105372,5171802,17/02/2016_00:00:00
2,99838,4264338,15/08/2016_00:00:00
1,119298,743211,11/10/2016_00:00:00
1,108336,4939121,07/01/2017_00:00:00
1,51546,1079649,18/12/2013_00:00:00
1,96027,3340776,05/02/2017_00:00:00
8,97507,1946366,24/03/2017_00:00:00
1,111095,4395969,05/08/2016_00:00:00
1,208625,4986681,03/08/2016_00:00:00
1,73292,2715629,27/08/2016_00:00:00
2,119139,2730257,17/10/2016_00:00:00
0.53,62189,1183190,20/03/2017_00:00:00
1,43057,1258496,11/02/2017_00:00:00
1,50963,4683283,12/12/2016_00:00:00
1,73152,1887340,19/08/2016_00:00:00
1,222170,3042070,18/08/2016_00:00:00
2,111096,2405074,17/01/2016_00:00:00
1,44980,2549841,19/07/2016_00:00:00
1,137692,5176269,22/08/2016_00:00:00
1,40560,4926698,24/11/2016_00:00:00
1,48775,681965,25/06/2016_00:00:00
2,48700,1518421,12/12/2016_00:00:00
1,111090,3678819,07/12/2016_00:00:00
1,49712,1677152,09/02/2017_00:00:00
1,204561,2752166,11/04/2016_00:00:00
1,222194,4198473,17/11/2015_00:00:00
5,43150,1829629,09/03/2016_00:00:00
1,89322,2563664,15/07/2016_00:00:00
1,99247,4518312,23/02/2016_00:00:00
1,50392,435687,18/12/2016_00:00:00
1,41736,2870253,23/09/2015_00:00:00
1,58306,2376181,08/03/2017_00:00:00
3,114193,4355563,31/12/2015_00:00:00
1,42581,2353470,28/10/2016_00:00:00
1,51956,2734609,20/02/2016_00:00:00
1,101201,1552614,03/03/2016_00:00:00
1,160040,4207938,16/02/2016_00:00:00
1,173059,1427982,28/05/2016_00:00:00
1,222272,4789427,19/12/2016_00:00:00
2,102098,3094317,24/10/2016_00:00:00
1,94509,2933258,04/07/2016_00:00:00
1,100621,1904015,24/02/2016_00:00:00
2,40227,685234,15/11/2016_00:00:00
1,46424,4217607,03/11/2016_00:00:00
2,41804,3675337,20/10/2016_00:00:00
1,101354,4243895,31/10/2015_00:00:00
1,242212,3544885,05/03/2017_00:00:00
3,104121,787835,09/08/2016_00:00:00
1,136300,3637531,24/03/2016_00:00:00
1,113331,1847210,06/06/2016_00:00:00
1,85821,3879119,03/12/2016_00:00:00
1,42877,961883,07/05/2016_00:00:00
1,222625,5084206,05/11/2015_00:00:00
1,107926,3678819,18/10/2015_00:00:00
2,40986,2160830,20/07/2016_00:00:00
4,109425,3879119,22/12/2015_00:00:00
1,82327,2984487,24/10/2015_00:00:00
1,160071,2522265,13/12/2016_00:00:00
1,123586,2878698,22/03/2017_00:00:00
1,95335,3923515,16/09/2016_00:00:00
1,42572,5072702,14/01/2017_00:00:00
1,112560,2032927,12/10/2015_00:00:00
1,178255,4584804,27/10/2016_00:00:00
1,149639,185169,07/06/2016_00:00:00
1,109558,4413435,12/05/2016_00:00:00
1,100545,3052360,24/12/2016_00:00:00
1,99232,1090119,29/11/2015_00:00:00
1,35732,2031199,24/11/2015_00:00:00
1,148692,3256845,10/10/2015_00:00:00
1,113856,2992822,06/03/2017_00:00:00
1,99957,1847210,05/03/2017_00:00:00
2,98357,931756,13/09/2016_00:00:00
1,43686,2696804,05/11/2016_00:00:00
1,51613,331804,21/11/2015_00:00:00
1,108338,3289067,01/08/2016_00:00:00
1,88527,2736232,22/12/2015_00:00:00
1,136646,2254103,01/02/2016_00:00:00
1,48311,2138738,03/07/2016_00:00:00
1,54090,3678819,24/10/2015_00:00:00
1,28475,1851167,18/02/2016_00:00:00
1,233793,1642141,20/01/2016_00:00:00
1,209687,2933547,23/04/2016_00:00:00
1,246151,4192601,26/09/2015_00:00:00
1,130674,4992887,15/09/2016_00:00:00
1,103713,815973,30/01/2016_00:00:00
1,241575,4027567,07/12/2015_00:00:00
1,4769,5169491,25/09/2016_00:00:00
1,95952,1582797,07/05/2016_00:00:00
1,40552,3479638,30/12/2016_00:00:00
3,48467,3016951,13/10/2015_00:00:00
1,99838,492669,12/03/2017_00:00:00
2,132851,2777658,23/09/2016_00:00:00
1,68409,4302387,07/02/2016_00:00:00
1,116217,2316941,20/01/2016_00:00:00
1,63539,4110848,23/12/2016_00:00:00
2,176647,2955321,26/09/2015_00:00:00
1,106570,1966913,09/01/2016_00:00:00
3,40160,2855376,16/12/2016_00:00:00
1,46415,4789427,12/09/2016_00:00:00
1,222578,4659853,05/12/2015_00:00:00
1,122231,3016951,16/05/2016_00:00:00
2,51829,3277209,11/12/2016_00:00:00
1,48183,1127374,01/12/2016_00:00:00
1,128023,3243291,13/07/2016_00:00:00
-1,190295,3572764,24/05/2016_00:00:00
1,45372,1794028,24/10/2015_00:00:00
1,51671,3654128,06/11/2015_00:00:00
1,205818,744020,10/03/2016_00:00:00
1,72426,652674,18/01/2016_00:00:00
1,243061,4413435,31/08/2015_00:00:00
1,231704,2899665,09/09/2015_00:00:00
2,40987,4185084,13/07/2016_00:00:00
1,46212,2357913,17/02/2017_00:00:00
1,45421,3838179,02/07/2016_00:00:00
1,22496,1904015,29/10/2015_00:00:00
6,68547,3094317,15/02/2016_00:00:00
1,70682,4937722,15/07/2016_00:00:00
1,51231,1774494,03/10/2015_00:00:00
1,95883,3118190,01/03/2016_00:00:00
1,39226,5122809,18/04/2016_00:00:00
1,98390,2213602,25/08/2015_00:00:00
2,106954,1990893,18/03/2016_00:00:00
1,42877,965651,06/01/2017_00:00:00
1,194754,4078974,25/09/2015_00:00:00
1,40776,685744,28/01/2017_00:00:00
1,182657,2031199,12/08/2015_00:00:00
1,105595,2742150,26/10/2015_00:00:00
1,49055,3208296,23/08/2016_00:00:00
1,88974,4489645,25/07/2016_00:00:00
2,42024,2598918,07/03/2017_00:00:00
1,160592,981748,02/12/2016_00:00:00
1,128946,2984487,25/06/2016_00:00:00
3,40666,1079649,13/05/2016_00:00:00
1,114278,4939121,08/03/2017_00:00:00
1,246305,1759023,05/07/2016_00:00:00
1,79490,3789922,14/01/2016_00:00:00
1,109126,331804,25/09/2016_00:00:00
1,103712,3188483,19/03/2017_00:00:00
1,214243,4835889,12/11/2016_00:00:00
1,40591,438347,06/09/2016_00:00:00
2,47586,3198801,18/11/2015_00:00:00
1,84761,3198064,17/12/2015_00:00:00
1,94941,466727,25/10/2016_00:00:00
1,96577,2094203,07/10/2015_00:00:00
1,98357,1104597,06/07/2016_00:00:00
1,42837,579295,23/10/2015_00:00:00
3,43316,927807,21/04/2016_00:00:00
1,48174,4192601,15/03/2016_00:00:00
1,72274,1128321,16/08/2015_00:00:00
2,106987,4564002,12/09/2015_00:00:00
1,60229,5197912,13/01/2017_00:00:00
1,107004,3586253,12/12/2016_00:00:00
1,214098,3704180,15/11/2016_00:00:00
1,42558,79505,19/01/2016_00:00:00
1,73012,3362874,26/11/2015_00:00:00
1,44024,4742870,06/09/2016_00:00:00
1,79716,5122809,03/12/2016_00:00:00
2,57239,1774494,27/03/2017_00:00:00
1,162529,2031199,17/03/2017_00:00:00
2,50654,3172622,19/11/2015_00:00:00
1,231573,1165484,14/12/2015_00:00:00
1,78804,2773036,19/11/2015_00:00:00
2,47685,1881888,29/09/2015_00:00:00
1,98259,2701803,11/01/2017_00:00:00
1,42770,3247351,20/02/2016_00:00:00
1,119582,2217691,02/12/2015_00:00:00
1,5222,486047,21/08/2015_00:00:00
1,39226,971014,20/04/2016_00:00:00
2,197730,429263,01/09/2015_00:00:00
1,46005,1313514,29/01/2017_00:00:00
1,108573,681965,09/02/2016_00:00:00
1,50555,2154675,23/12/2016_00:00:00
1,67906,965651,29/04/2016_00:00:00
1,106570,4584804,16/09/2015_00:00:00
1,96416,2472244,05/10/2015_00:00:00
1,115214,1522328,24/09/2016_00:00:00
1,41020,4432632,03/04/2016_00:00:00
1,51270,3395549,24/01/2017_00:00:00
1,211076,2072144,21/04/2016_00:00:00
2,50056,2032927,10/01/2016_00:00:00
1,5299,2093421,15/11/2016_00:00:00
1,113910,2268869,03/11/2016_00:00:00
1,95689,3919512,15/08/2015_00:00:00
1,46396,740566,01/03/2016_00:00:00
1,45358,3563193,04/07/2016_00:00:00
1,55753,3095691,08/10/2015_00:00:00
1,5312,2955179,04/03/2017_00:00:00
1,135850,2357913,31/01/2016_00:00:00
5,39310,3520500,04/03/2016_00:00:00
1,54307,421691,01/10/2016_00:00:00
2,40585,4217607,24/09/2015_00:00:00
1,41549,1726236,06/03/2017_00:00:00
2,99935,4041753,16/09/2016_00:00:00
1,51230,2567543,09/02/2017_00:00:00
1,102383,4041753,20/07/2016_00:00:00
2,160183,346795,21/02/2017_00:00:00
1,115823,3143404,24/10/2015_00:00:00
2,41026,4489645,18/02/2016_00:00:00
1,115530,4414710,26/02/2016_00:00:00
1,47614,4518312,14/09/2016_00:00:00
1,32912,1966913,25/05/2016_00:00:00
1,22566,3068491,02/09/2016_00:00:00
2,103710,3289067,09/12/2016_00:00:00
1,43057,2984487,30/01/2017_00:00:00
1,145811,2246972,01/04/2016_00:00:00
1,156654,1398285,20/03/2017_00:00:00
4,160241,2639949,30/09/2016_00:00:00
3,53274,815973,07/05/2016_00:00:00
1,143133,4373194,19/11/2015_00:00:00
2,69775,466727,07/04/2016_00:00:00
1,48730,1046056,08/12/2016_00:00:00
1,91378,5204247,22/09/2016_00:00:00
1,86973,3096827,30/03/2017_00:00:00
4,42546,2777658,17/11/2015_00:00:00
1,200892,4997843,11/12/2016_00:00:00
1,48037,3277209,11/05/2016_00:00:00
1,95271,1041112,15/03/2016_00:00:00
1,169003,685211,04/08/2016_00:00:00
5,39203,4368935,23/04/2016_00:00:00
1,42027,2250758,17/02/2016_00:00:00
1,77557,3188483,02/02/2017_00:00:00
3,49221,981748,16/09/2015_00:00:00
3,99136,2245499,25/03/2016_00:00:00
1,197653,4527625,08/02/2017_00:00:00
1,103445,2868206,31/08/2016_00:00:00
1,222271,965651,25/08/2016_00:00:00
3,99802,466727,07/11/2016_00:00:00
1,206678,1713420,15/02/2016_00:00:00
1,167154,4249183,17/10/2016_00:00:00
1,66966,2270109,08/01/2016_00:00:00
1,85821,2809173,22/12/2015_00:00:00
1,154168,2773036,30/10/2015_00:00:00
3,41564,129491,23/10/2015_00:00:00
1,56557,87626,10/10/2016_00:00:00
1,59836,3563193,27/03/2016_00:00:00
1,45598,3247351,18/10/2016_00:00:00
2,111338,2076336,21/12/2015_00:00:00
1,123186,2693706,18/09/2015_00:00:00
1,105053,2653450,30/05/2016_00:00:00
1,59838,3042070,13/11/2016_00:00:00
1,46174,927807,11/10/2015_00:00:00
1,88915,739663,17/05/2016_00:00:00
1,105669,5137205,29/01/2016_00:00:00
1,99767,3324746,23/04/2016_00:00:00
2,84656,908560,06/12/2015_00:00:00
1,239894,2714327,15/10/2016_00:00:00
1,41330,2472244,15/09/2015_00:00:00
